IonicLiuid,Cation_SMILES,Anion_SMILES,IL_SMILES,T(K),ST(exp)
[MMIM],CN1C=C[N+](C)=C1,N#C[N-]C#N,CN1C=C[N+](C)=C1.N#C[N-]C#N,298.15,61.6
[MMIM][Glu],CN1C=C[N+](C)=C1,NC(CCC(O)O)C(O)[O-],CN1C=C[N+](C)=C1.NC(CCC(O)O)C(O)[O-],298.15,76.2
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,288.15,60.9
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,298.15,59.8
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,308.15,59.1
[MMIM][MeSO4],CN1C=C[N+](C)=C1,COS([O-])(=O)=O,CN1C=C[N+](C)=C1.COS([O-])(=O)=O,313.15,58.9
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,293.15,47.42
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,298.15,47.09
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,308.15,46.28
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,318.15,44.44
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,328.15,42.58
[MMIM][DMP],CN1C=C[N+](C)=C1,COP([O-])(=O)OC,CN1C=C[N+](C)=C1.COP([O-])(=O)OC,338.15,41.33
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,298.15,52.05
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,308.15,51.65
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,318.15,51.25
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,328.15,50.85
[Emim][BF4],CCN1C=C[N+](C)=C1,F[B-](F)(F)F,CCN1C=C[N+](C)=C1.F[B-](F)(F)F,338.15,50.45
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,283.16,36.78
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,297.89,36.13
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,308.82,35.61
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,317.77,35.14
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,327.91,34.66
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,337.84,34.06
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,346.93,33.66
[Emim][TF2N],CCN1C=C[N+](C)=C1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,351.54,33.42
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,298.2,41.3
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,308.1,41
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,318.1,40.5
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,328.4,39.9
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,338.3,39.5
[Emim][CF3SO3] trifluoromethanesulfonate,CCN1C=C[N+](C)=C1,[O-]S(=O)(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,344.9,39.3
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,278.15,50.42
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,288.15,49.48
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,298.15,48.79
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,308.15,47.95
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,318.15,47.44
[Emim][EtSO4],CCN1C=C[N+](C)=C1,CCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCOS([O-])(=O)=O,328.15,47.01
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,273.31,52.81
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,283.18,51.56
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,293.15,50.72
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,303.54,49.54
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,313.72,48.26
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,323.17,47.41
[Emim][MeSO3],CCN1C=C[N+](C)=C1,CS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CS([O-])(=O)=O,333.15,46.35
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,273.33,47.52
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,283.13,46.45
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,293.15,45.49
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,303.52,44.22
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,313.46,43.26
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,323.3,42.41
[Emim]methylphosphonate,CCN1C=C[N+](C)=C1,CP(O)([O-])=O,CCN1C=C[N+](C)=C1.CP(O)([O-])=O,333.51,41.56
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,273.35,32.53
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,283.54,31.57
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,293.15,30.82
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,303.24,29.95
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,313.13,29.23
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,323.3,28.7
[Emim]octylsulfate,CCN1C=C[N+](C)=C1,CCCCCCCCOS([O-])(=O)=O,CCN1C=C[N+](C)=C1.CCCCCCCCOS([O-])(=O)=O,333.11,28.06
[EMIM][DEP],CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,293.15,36.1
[EMIM][DEP],CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,298.15,35.88
[EMIM][DEP],CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,308.15,35.3
[EMIM][DEP],CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,318.15,34.61
[EMIM][DEP],CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,328.15,34.21
[EMIM][DEP],CCN1C=C[N+](C)=C1,CCOP([O-])(=O)OCC,CCN1C=C[N+](C)=C1.CCOP([O-])(=O)OCC,338.15,33.75
[Emim][DMP]dimethylphosphate,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,308.2,45.3
[Emim][DMP]dimethylphosphate,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,318,44.7
[Emim][DMP]dimethylphosphate,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,328.7,44.4
[Emim][DMP]dimethylphosphate,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,338.6,43.8
[Emim][DMP]dimethylphosphate,CCN1C=C[N+](C)=C1,COP([O-])(=O)OC,CCN1C=C[N+](C)=C1.COP([O-])(=O)OC,343.5,43.3
[Emim]Tosylate,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,308.1,45.2
[Emim]Tosylate,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,318,44.2
[Emim]Tosylate,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,328.5,43.6
[Emim]Tosylate,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,338.3,43
[Emim]Tosylate,CCN1C=C[N+](C)=C1,CC1CCC(CC1)S([O-])(=O)=O,CCN1C=C[N+](C)=C1.CC1CCC(CC1)S([O-])(=O)=O,343.2,42.7
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,293.15,53.1
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,298.15,52.7
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,308.15,51.8
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,318.15,51.1
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,328.15,50.3
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,338.15,49.9
[Emim][Ala],CCN1C=C[N+](C)=C1,CC(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(N)C([O-])=O,343.15,49.6
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,288.15,55.5
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,293.15,55.2
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,298.15,54.8
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,303.15,54.5
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,308.15,54.2
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,313.15,53.7
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,318.15,53.4
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,323.15,53.1
[Emim][Thr] threonine,CCN1C=C[N+](C)=C1,CC(O)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C(N)C([O-])=O,328.15,52.7
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,298.15,39.1
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,303.15,38.8
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,308.15,38.5
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,313.15,38.1
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,318.15,37.8
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,328.15,37.2
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,333.15,36.8
[Emim][Val] valinate,CCN1C=C[N+](C)=C1,CC(C)C(N)C([O-])=O,CCN1C=C[N+](C)=C1.CC(C)C(N)C([O-])=O,338.15,36.5
[Emim][Gly],CCN1C=C[N+](C)=C1,NCC([O-])=O,CCN1C=C[N+](C)=C1.NCC([O-])=O,298.15,49.2
[Emim][Glu],CCN1C=C[N+](C)=C1,NC(CCC(O)=O)C([O-])=O,CCN1C=C[N+](C)=C1.NC(CCC(O)=O)C([O-])=O,298.15,67.6
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,298.15,38.1
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,303.15,37.8
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,308.15,37.5
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,313.15,37.1
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,318.15,36.6
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,323.15,36.3
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,328.15,35.9
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,333.15,35.5
[Emim][Ace],CCN1C=C[N+](C)=C1,CC([O-])=O,CCN1C=C[N+](C)=C1.CC([O-])=O,338.15,35.2
[Emim][Prop],CCN1C=C[N+](C)=C1,CCC([O-])=O,CCN1C=C[N+](C)=C1.CCC([O-])=O,298.15,39.6
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,283.15,53.37
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,293.15,52.9
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,298.15,52.38
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,303.15,51.49
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,308.15,51.05
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,313.15,50.6
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,318.15,49.98
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,323.15,49.72
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,328.15,48.97
[Emim][Lac],CCN1C=C[N+](C)=C1,CC(O)C([O-])=O,CCN1C=C[N+](C)=C1.CC(O)C([O-])=O,333.15,48.63
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,293.15,45.3
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,303.15,44.6
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,313.15,43.8
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,323.15,43.1
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,333.15,42.4
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,343.15,41.7
[Emim]Phenolate,CCN1C=C[N+](C)=C1,[O-]C1=CC=CC=C1,CCN1C=C[N+](C)=C1.[O-]C1=CC=CC=C1,353.15,40.3
[Emim]Br,CCN1C=C[N+](C)=C1,[Br-],CCN1C=C[N+](C)=C1.[Br-],343.14,62
[Emim]Br,CCN1C=C[N+](C)=C1,[Br-],CCN1C=C[N+](C)=C1.[Br-],348.29,61.9
[Emim]Br,CCN1C=C[N+](C)=C1,[Br-],CCN1C=C[N+](C)=C1.[Br-],352.84,61.3
[Emim]Br,CCN1C=C[N+](C)=C1,[Br-],CCN1C=C[N+](C)=C1.[Br-],358.28,61.2
[Emim]Br,CCN1C=C[N+](C)=C1,[Br-],CCN1C=C[N+](C)=C1.[Br-],364.1,60.5
[Emim][SCN],CCN1C=C[N+](C)=C1,[S-]C#N,CCN1C=C[N+](C)=C1.[S-]C#N,298.2,53.3
[Emim][SCN],CCN1C=C[N+](C)=C1,[S-]C#N,CCN1C=C[N+](C)=C1.[S-]C#N,308.2,52.3
[Emim][SCN],CCN1C=C[N+](C)=C1,[S-]C#N,CCN1C=C[N+](C)=C1.[S-]C#N,318.2,51.8
[Emim][SCN],CCN1C=C[N+](C)=C1,[S-]C#N,CCN1C=C[N+](C)=C1.[S-]C#N,328.2,50.5
[Emim][SCN],CCN1C=C[N+](C)=C1,[S-]C#N,CCN1C=C[N+](C)=C1.[S-]C#N,338.3,49.8
[Emim][SCN],CCN1C=C[N+](C)=C1,[S-]C#N,CCN1C=C[N+](C)=C1.[S-]C#N,343.2,49.4
[Emim][DCN],CCN1C=C[N+](C)=C1,N#C[N-]C#N,CCN1C=C[N+](C)=C1.N#C[N-]C#N,298.3,57.5
[Emim][DCN],CCN1C=C[N+](C)=C1,N#C[N-]C#N,CCN1C=C[N+](C)=C1.N#C[N-]C#N,308.2,56.6
[Emim][DCN],CCN1C=C[N+](C)=C1,N#C[N-]C#N,CCN1C=C[N+](C)=C1.N#C[N-]C#N,318.3,56.4
[Emim][DCN],CCN1C=C[N+](C)=C1,N#C[N-]C#N,CCN1C=C[N+](C)=C1.N#C[N-]C#N,328.2,56
[Emim][DCN],CCN1C=C[N+](C)=C1,N#C[N-]C#N,CCN1C=C[N+](C)=C1.N#C[N-]C#N,338.5,55
[Emim][DCN],CCN1C=C[N+](C)=C1,N#C[N-]C#N,CCN1C=C[N+](C)=C1.N#C[N-]C#N,343.4,54.9
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,283.18,51.1
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,293.25,50.4
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,303.24,49.39
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,313.1,48.62
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,323.08,47.83
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,333.17,47.19
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,343.09,46.55
[Emim][TCN] Tricyanomathanide,CCN1C=C[N+](C)=C1,N#C[C-](C#N)C#N,CCN1C=C[N+](C)=C1.N#C[C-](C#N)C#N,353.36,44.68
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,283.1,49.7
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,293.26,48.7
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,303.35,47.6
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,313.29,46.4
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,323.2,45.7
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,333.09,44.9
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,343.12,44.04
[Emim]tetracyanoborate,CCN1C=C[N+](C)=C1,N#C[B-](C#N)(C#N)C#N,CCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,353.45,43.4
[Emim][TFA],CCN1C=C[N+](C)=C1,[O-]C(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]C(=O)C(F)(F)F,293.15,49.3
[Emim][TFA],CCN1C=C[N+](C)=C1,[O-]C(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]C(=O)C(F)(F)F,298.15,49
[Emim][TFA],CCN1C=C[N+](C)=C1,[O-]C(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]C(=O)C(F)(F)F,303.15,48.6
[Emim][TFA],CCN1C=C[N+](C)=C1,[O-]C(=O)C(F)(F)F,CCN1C=C[N+](C)=C1.[O-]C(=O)C(F)(F)F,308.15,48.3
